Year,Adult Mortality,infant deaths,Alcohol,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness  1-19 years,Income composition of resources,Schooling,Status_Developed,Status_Developing,Life expectancy 
2002,169.0,6,3.09,95.0,7.28,95.0,1.5,1132.8721,2.7,0.561,10.1,0,1,71.6
2007,161.0,0,3.24,96.0,4.24,97.0,0.1,6574.654338,7.5,0.72,13.5,0,1,72.9
2002,71.0,0,6.9,99.0,9.23,99.0,0.1,29571.7446,1.3,0.88,15.9,1,0,79.9
2012,235.0,30,0.87,71.0,3.46,7.0,0.4,443.9611,7.4,0.506,10.2,0,1,64.3
2002,43.0,43,0.36,31.0,8.33,25.0,5.0,22.854821,11.1,0.303,5.1,0,1,48.1
2004,34.0,41,1.46,81.0,3.96,8.0,3.2,423.1936389,8.4,0.491,7.7,0,1,58.3
2005,9.0,0,11.84,99.0,7.95,99.0,0.1,8289.69641,1.0,0.874,13.5,1,0,78.8
2012,29.0,8,0.01,8.0,3.36,8.0,1.2,1364.283745,8.3,0.491,7.8,0,1,62.5
2010,64.0,1,10.52,92.0,9.2,92.0,0.1,51874.848,0.7,0.927,19.5,1,0,81.9
2008,87.0,0,10.47,99.0,9.6,99.0,0.1,48424.58927,0.8,0.874,15.8,1,0,79.5
2002,164.0,207,0.01,83.0,2.59,83.0,0.1,4.6135745,2.5,0.476,7.7,0,1,66.3
2010,166.0,6,6.02,85.0,4.6,88.0,0.9,5451.6696,3.3,0.697,12.9,0,1,72.7
2005,138.0,2,0.01,98.0,2.71,98.0,0.1,8171.361651,5.5,0.748,15.7,0,1,71.9
2000,153.0,3,8.4,98.0,5.5,98.0,0.1,4492.72764,2.5,0.777,14.6,1,0,73.7
2008,258.0,8,7.6,99.0,3.65,99.0,0.1,8513.564645,2.4,0.758,14.6,0,1,66.6
2013,67.0,2,8.2,91.0,1.67,91.0,0.1,52413.72116,0.5,0.909,15.9,0,1,81.8
2004,336.0,3,6.28,48.0,2.4,38.0,4.4,685.34897,1.0,0.553,8.5,0,1,54.1
2014,23.0,12,0.01,98.0,7.53,98.0,0.4,76.5699517,5.8,0.488,10.8,0,1,65.7
2003,437.0,74,1.49,75.0,4.45,73.0,14.5,436.6875357,8.8,0.45,8.2,0,1,52.4
2001,519.0,30,4.21,38.0,11.83,38.0,1.5,227.779471,1.1,0.302,7.0,0,1,41.0
2009,368.0,30,2.3,93.0,4.73,94.0,9.1,1139.11233,6.7,0.518,11.6,0,1,57.4
2006,125.0,1,5.72,98.0,7.0,88.0,0.1,5348.518399,2.1,0.744,12.9,0,1,76.2
2013,281.0,10,0.01,8.0,4.78,79.0,0.8,229.95364,1.3,0.506,10.0,0,1,62.4
2003,321.0,11,0.59,62.0,6.79,68.0,1.4,588.3582595,1.5,0.433,7.2,0,1,59.6
2009,172.0,0,2.88,45.0,5.4,49.0,0.1,335.112838,0.2,0.691,12.9,0,1,76.0
2012,189.0,0,6.66,98.0,5.45,98.0,0.1,4673.63848,3.5,0.702,12.5,0,1,69.4
2011,51.0,0,8.13,95.0,8.65,95.0,0.1,46.217,0.9,0.894,18.6,1,0,82.1
2011,98.0,1,3.41,82.0,9.73,85.0,0.1,9186.59639,1.8,0.752,13.4,0,1,79.0
2011,249.0,156,1.32,7.0,6.55,65.0,1.4,354.8463544,1.9,0.411,8.2,0,1,62.6
2006,141.0,1,4.01,87.0,4.58,87.0,0.1,2158.299,2.0,0.692,11.2,0,1,72.9
2007,132.0,2,0.01,98.0,2.63,98.0,0.1,1138.56661,5.5,0.756,15.1,0,1,72.5
2001,34.0,60,0.51,56.0,6.39,49.0,2.4,36.8473237,1.8,0.297,4.6,0,1,55.0
2002,283.0,25,1.23,76.0,4.27,75.0,2.1,418.6985763,9.3,0.407,7.3,0,1,55.6
2012,339.0,73,0.01,82.0,7.58,78.0,4.6,647.74741,5.8,0.477,10.0,0,1,60.0
2009,96.0,1,4.07,8.0,9.69,86.0,0.1,689.396224,1.9,0.747,13.1,0,1,79.2
2014,375.0,61,0.01,79.0,6.98,79.0,4.1,623.2871141,3.6,0.409,9.1,0,1,56.7
2002,15.0,1,3.73,98.0,6.3,98.0,0.1,1453.642777,2.0,0.67,10.7,0,1,73.3
2002,145.0,20,0.36,86.0,3.73,86.0,0.1,1774.33673,6.3,0.653,11.1,0,1,71.6
2005,4.0,58,5.03,79.0,4.75,8.0,7.4,952.1872484,6.9,0.456,8.3,0,1,52.8
2005,67.0,0,6.41,94.0,8.83,92.0,0.1,15835.34667,0.7,0.805,14.8,1,0,79.0
2009,137.0,7,3.87,91.0,5.58,94.0,0.1,4255.56571,1.3,0.702,13.1,0,1,75.1
2011,58.0,0,7.4,98.0,11.7,98.0,0.1,59593.28711,1.4,0.901,16.0,1,0,81.7
2003,25.0,3,0.44,55.0,2.48,55.0,0.1,471.4565823,12.1,0.485,9.8,0,1,61.0
2004,284.0,2,1.75,99.0,5.99,99.0,0.1,797.8377432,2.3,0.621,11.2,0,1,64.0
2011,52.0,4,2.39,95.0,11.79,96.0,10.5,1352.38433,6.8,0.469,11.0,0,1,52.3
2006,161.0,3,5.61,98.0,6.43,98.0,0.2,189.71539,2.2,0.648,12.1,0,1,72.3
2002,226.0,0,5.8,92.0,1.21,92.0,1.4,555.8185378,7.6,0.501,9.6,0,1,63.1
2007,24.0,0,13.4,95.0,6.22,95.0,0.1,12297.91535,2.9,0.812,16.4,1,0,72.0
2000,37.0,60,0.47,53.0,6.29,43.0,2.5,269.3483829,11.0,0.291,4.4,0,1,49.8
2010,294.0,61,1.73,9.0,3.97,9.0,4.3,967.34773,8.2,0.523,11.1,0,1,63.0
2012,118.0,0,5.77,95.0,8.74,95.0,0.1,1592.6819,1.5,0.784,15.5,0,1,76.5
2003,8.0,1,9.56,98.0,8.46,98.0,0.1,35245.1647,1.1,0.881,16.5,1,0,78.7
2011,271.0,54,0.61,72.0,6.59,66.0,1.5,835.88998,8.5,0.404,7.5,0,1,56.8
2013,23.0,29,0.87,73.0,4.15,74.0,0.4,461.723722,7.3,0.508,10.3,0,1,64.7
2000,18.0,0,1.21,67.0,3.28,71.0,0.1,1469.849149,1.7,0.0,9.6,0,1,69.0
2013,158.0,2,0.01,82.0,1.29,82.0,0.1,117.765674,11.1,0.62,12.5,0,1,67.7
2003,1.0,2,6.37,96.0,7.34,96.0,0.1,4787.699532,1.0,0.775,14.0,0,1,77.9
2001,126.0,0,13.15,94.0,7.16,94.0,0.1,5245.421419,2.0,0.749,12.3,1,0,74.9
2000,247.0,1,12.98,99.0,6.13,99.0,0.1,1276.28834,2.7,0.675,13.1,0,1,68.0
2007,82.0,0,1.78,98.0,6.64,98.0,0.1,52.862285,14.3,0.632,11.9,0,1,75.4
2010,462.0,35,1.08,86.0,1.5,93.0,13.7,458.8681744,6.8,0.43,10.2,0,1,52.9
2002,9.0,0,12.5,82.0,1.27,83.0,0.1,26351.37568,1.7,0.847,16.1,1,0,78.7
2006,17.0,0,12.26,97.0,8.42,97.0,0.1,19726.1265,1.8,0.858,16.7,1,0,78.1
2001,228.0,0,6.68,97.0,6.17,97.0,0.1,3572.8513,2.8,0.728,14.2,1,0,69.9
2008,525.0,36,1.27,92.0,1.7,91.0,16.9,372.842678,7.0,0.4,9.6,0,1,50.0
2005,285.0,25,1.13,73.0,4.73,7.0,2.1,61.799977,8.7,0.43,8.5,0,1,56.5
2009,297.0,29,0.18,6.0,3.85,57.0,2.3,436.6895539,8.4,0.376,8.1,0,1,57.3
2010,298.0,6,0.61,9.0,3.24,9.0,0.9,482.14994,8.9,0.404,5.1,0,1,62.1
2003,173.0,0,1.2,67.0,4.2,69.0,0.1,158.52724,1.6,0.0,10.4,0,1,69.4
2008,35.0,23,4.33,89.0,7.86,92.0,2.9,196.2472628,7.9,0.319,7.9,0,1,55.3
2006,75.0,2,8.2,95.0,9.75,95.0,0.1,4386.69948,0.5,0.891,15.8,0,1,85.0
2012,99.0,19,0.55,99.0,6.15,99.0,0.1,294.746728,6.3,0.623,11.6,0,1,73.6
2012,223.0,0,0.01,97.0,3.7,97.0,0.6,2422.816,16.1,0.581,12.3,0,1,68.7
2010,221.0,0,7.52,95.0,6.6,95.0,0.4,326.281212,5.6,0.618,10.2,0,1,65.9
2003,253.0,1,11.17,53.0,6.59,5.0,0.1,1819.525644,2.5,0.695,13.9,0,1,67.7
2011,197.0,2,2.37,9.0,6.81,89.0,0.3,3736.58713,1.7,0.666,13.0,0,1,72.0
2004,148.0,8,3.65,9.0,6.22,88.0,0.3,278.557892,1.5,0.682,12.7,0,1,74.4
2004,224.0,0,5.78,99.0,9.94,96.0,1.6,693.345683,7.2,0.509,9.8,0,1,63.8
2010,117.0,4,0.51,98.0,8.42,98.0,0.1,3679.19275,3.8,0.739,13.2,0,1,73.4
2009,231.0,5,8.71,74.0,7.8,71.0,0.3,2545.48341,2.5,0.734,14.9,0,1,69.2
2011,64.0,3,7.39,96.0,1.7,97.0,0.1,48167.99727,1.9,0.884,15.1,1,0,82.5
2005,15.0,0,1.57,9.0,6.52,89.0,0.1,2594.74999,0.1,0.694,14.6,0,1,72.3
2010,214.0,8,0.01,52.0,3.28,64.0,1.2,123.383675,8.7,0.484,7.6,0,1,62.0
2003,72.0,0,10.82,95.0,1.93,93.0,0.1,4796.56497,0.6,0.889,15.0,1,0,85.0
2010,323.0,14,1.21,83.0,5.37,83.0,3.8,487.9238913,7.3,0.449,11.0,0,1,57.4
2014,156.0,0,0.01,92.0,5.88,92.0,0.1,15725.1374,2.2,0.822,16.0,1,0,74.4
2004,723.0,27,4.36,67.0,7.13,65.0,33.6,454.366654,9.4,0.407,9.2,0,1,44.3
2001,54.0,17,1.52,4.0,3.95,4.0,13.9,243.1586486,1.4,0.314,5.3,0,1,45.6
2014,183.0,0,0.01,94.0,5.5,88.0,0.1,29.652622,1.1,0.512,9.6,0,1,68.8
2004,68.0,3,7.7,97.0,8.3,99.0,0.1,37688.72234,1.7,0.866,14.8,1,0,82.1
2005,382.0,92,5.04,39.0,4.1,38.0,2.6,1443.991929,1.0,0.426,6.8,0,1,47.4
2009,18.0,1,0.56,96.0,2.83,98.0,0.1,16784.34616,6.9,0.782,12.4,0,1,75.4
2014,329.0,8,0.01,49.0,1.4,5.0,0.9,458.4651734,6.7,0.426,9.9,0,1,58.1
2010,33.0,23,4.16,94.0,8.82,96.0,1.9,231.1943256,7.7,0.361,9.3,0,1,56.8
2006,185.0,23,1.96,94.0,5.49,96.0,0.4,654.2838373,3.2,0.626,11.8,0,1,67.6
2006,64.0,0,6.5,98.0,8.95,98.0,0.1,46256.4716,1.3,0.892,15.9,1,0,88.0
2000,283.0,44,1.16,58.0,5.8,57.0,0.6,245.939659,8.7,0.0,8.0,0,1,57.9
2002,11.0,2,6.06,97.0,6.48,97.0,0.1,4463.545867,1.0,0.768,13.9,0,1,77.8
2013,157.0,6,5.93,82.0,4.12,83.0,0.3,627.55544,3.3,0.709,13.2,0,1,73.4
2009,91.0,2,7.67,94.0,7.39,94.0,0.1,1243.32824,0.8,0.816,15.3,0,1,79.3
2008,296.0,59,0.3,85.0,1.87,85.0,0.6,643.951373,13.2,0.493,8.2,0,1,59.2
2013,138.0,2,9.59,88.0,5.6,92.0,0.1,9585.266593,2.7,0.794,14.7,1,0,74.6
2002,197.0,4,3.5,85.0,5.71,85.0,0.4,11.147277,2.2,0.577,10.7,0,1,75.0
2008,121.0,25,1.39,96.0,6.7,96.0,0.1,185.68975,5.0,0.705,12.5,0,1,73.5
2000,246.0,1,6.63,79.0,5.85,88.0,1.1,946.599372,5.9,0.602,10.9,0,1,65.4
2002,124.0,0,13.39,95.0,6.19,95.0,0.1,653.71637,2.0,0.759,12.6,1,0,74.8
2010,26.0,16,7.92,93.0,7.91,97.0,2.3,563.491487,6.5,0.454,10.0,0,1,62.8
2009,158.0,2,10.4,95.0,5.56,95.0,0.1,822.18329,3.0,0.795,15.4,1,0,73.1
2003,174.0,0,4.08,99.0,4.15,99.0,0.1,4623.347642,7.9,0.687,12.6,0,1,71.5
2000,73.0,0,6.2,99.0,8.18,99.0,0.1,29283.55,1.4,0.873,15.9,1,0,79.6
2000,11.0,1,11.89,96.0,9.14,96.0,0.1,1152.39681,0.8,0.777,15.5,1,0,76.6
2002,415.0,31,7.82,85.0,4.18,88.0,8.0,196.59778,7.2,0.343,7.2,0,1,57.0
2008,45.0,31,2.12,9.0,4.87,87.0,11.9,1369.68249,6.8,0.504,11.4,0,1,55.7
2010,7.0,2,8.4,88.0,11.2,89.0,0.1,47447.4762,0.5,0.898,15.9,0,1,81.2
2014,86.0,171,5.78,99.0,5.55,99.0,0.1,7683.5238,3.7,0.723,13.1,0,1,75.8
2010,132.0,1,4.23,96.0,4.56,94.0,0.1,3218.381655,2.0,0.72,12.3,0,1,73.5
2004,77.0,2,7.8,91.0,9.56,91.0,0.1,31979.87195,0.5,0.881,15.8,0,1,80.0
2013,57.0,0,7.3,98.0,11.97,98.0,0.1,6283.24522,1.4,0.904,15.8,1,0,81.9
2013,146.0,46,7.24,96.0,8.48,97.0,0.1,12216.9446,2.8,0.734,14.2,0,1,74.7
2011,371.0,51,6.19,8.0,3.96,82.0,4.9,1295.649726,6.0,0.486,10.0,0,1,55.6
2012,129.0,9,5.14,94.0,5.18,95.0,0.1,6387.785281,1.1,0.725,13.4,0,1,74.9
2011,79.0,0,10.47,91.0,1.87,91.0,0.1,61753.667,1.1,0.91,16.9,1,0,79.7
2012,129.0,3,0.53,97.0,4.1,97.0,0.1,1779.49641,7.9,0.776,12.9,0,1,74.5
2009,259.0,25,1.16,8.0,4.46,79.0,1.6,793.45243,7.9,0.448,9.3,0,1,58.4
2004,253.0,19,1.38,86.0,6.43,85.0,1.7,48.615184,11.6,0.458,9.7,0,1,61.5
2013,118.0,1,6.89,81.0,8.9,8.0,0.1,11685.97983,1.9,0.773,12.9,0,1,77.5
2009,254.0,33,0.91,76.0,4.7,77.0,0.5,415.6893226,7.7,0.5,9.7,0,1,62.8
2003,78.0,2,7.7,88.0,9.54,91.0,0.1,28172.14883,0.5,0.877,15.8,0,1,79.7
2012,294.0,14,0.01,84.0,5.11,84.0,1.7,563.6894247,7.0,0.464,12.0,0,1,58.9
2012,14.0,0,11.49,96.0,7.8,96.0,0.1,13235.97757,1.5,0.815,14.6,1,0,77.1
2013,125.0,8,5.38,71.0,5.23,88.0,0.1,6583.116248,1.1,0.731,13.4,0,1,75.3
2009,55.0,0,10.22,96.0,9.12,96.0,0.1,4461.89251,0.9,0.894,18.4,1,0,81.6
2000,274.0,27,1.51,62.0,5.87,59.0,2.1,3.685949,11.6,0.401,7.2,0,1,57.7
2009,157.0,57,7.33,99.0,8.65,99.0,0.1,8553.3847,3.0,0.714,13.8,0,1,73.6
2011,275.0,42,4.51,9.0,5.17,91.0,0.9,666.842783,8.8,0.377,6.7,0,1,58.1
2005,185.0,0,7.82,99.0,3.91,99.0,0.1,1192.5174,6.0,0.712,12.1,0,1,72.2
2007,173.0,3,3.83,93.0,6.91,93.0,0.2,1344.31871,2.0,0.601,11.0,0,1,72.5
2002,343.0,7,0.83,92.0,4.2,9.0,1.9,21.7687981,9.9,0.0,4.4,0,1,58.5
2000,95.0,3,12.91,94.0,1.1,9.0,0.1,23718.7467,1.2,0.855,16.2,1,0,78.0
2004,267.0,5,6.79,99.0,6.61,99.0,1.0,1367.352433,2.7,0.7,14.6,0,1,67.4
2004,84.0,0,1.11,95.0,3.61,96.0,0.1,41818.35256,4.8,0.826,13.5,0,1,76.6
2008,111.0,0,8.95,85.0,6.1,85.0,0.1,1657.3228,3.9,0.775,15.3,0,1,74.4
2014,154.0,6,5.92,9.0,4.38,91.0,0.3,6268.692122,3.3,0.712,13.2,0,1,73.6
2011,183.0,19,2.83,99.0,5.65,99.0,0.1,1564.966945,3.0,0.664,12.0,0,1,68.5
2005,168.0,0,3.94,97.0,4.47,97.0,0.1,5116.45424,7.7,0.704,13.0,0,1,72.1
2009,183.0,0,6.37,9.0,6.47,9.0,0.2,1458.8796,6.0,0.773,12.5,0,1,71.0
2012,59.0,0,1.89,97.0,4.22,97.0,0.1,54431.16199,2.2,0.917,15.4,1,0,82.5
2008,167.0,32,0.17,71.0,3.93,69.0,0.1,4521.3247,5.4,0.638,10.3,0,1,69.3
2013,227.0,49,0.01,56.0,5.9,67.0,0.6,416.14838,1.0,0.341,5.3,0,1,69.0
2011,289.0,2,8.9,75.0,3.12,75.0,6.0,1716.2258,6.4,0.664,12.5,0,1,62.8
2013,255.0,2,8.86,77.0,3.98,79.0,3.7,9679.742995,6.2,0.678,12.5,0,1,64.6
2007,12.0,0,11.02,97.0,7.98,97.0,0.1,23841.31792,1.8,0.865,16.8,1,0,78.3
2009,338.0,23,4.05,96.0,6.96,94.0,2.4,24.944652,7.8,0.336,8.6,0,1,56.2
2010,178.0,23,0.24,83.0,6.43,82.0,0.2,592.1835216,16.7,0.515,11.1,0,1,68.0
2014,122.0,31,5.26,87.0,6.3,87.0,0.1,1452.27766,1.6,0.754,13.1,0,1,76.6
2014,137.0,0,0.01,99.0,7.4,99.0,0.1,14117.97668,1.7,0.834,15.8,1,0,75.6
2014,158.0,18,0.01,92.0,5.8,92.0,0.1,76.2386977,15.9,0.551,12.4,0,1,69.6
2006,145.0,0,8.93,99.0,4.34,99.0,0.1,12724.39377,3.4,0.773,14.7,0,1,74.8
2011,155.0,10,6.07,99.0,4.12,99.0,0.2,5491.159981,8.1,0.72,13.3,0,1,74.1
2000,257.0,6,4.49,99.0,5.59,99.0,0.7,635.789635,3.0,0.669,13.3,0,1,67.5
2008,177.0,369,0.03,7.0,3.26,62.0,0.1,139.31288,2.7,0.513,7.3,0,1,64.6
2005,294.0,8,6.94,99.0,4.7,98.0,0.1,3771.278957,2.4,0.737,13.9,0,1,64.6
2002,416.0,87,2.16,76.0,6.45,76.0,14.5,262.884551,4.0,0.311,6.2,0,1,49.8
2001,586.0,5,2.86,78.0,7.53,78.0,31.2,437.819184,11.1,0.443,10.3,0,1,47.8
2002,163.0,17,4.45,83.0,5.67,81.0,0.1,2355.725857,2.5,0.656,11.5,0,1,71.8
2014,463.0,23,0.01,83.0,11.9,83.0,0.6,78.4394757,7.5,0.426,9.5,0,1,48.1
2006,71.0,1,9.79,96.0,9.36,96.0,0.1,44453.97119,1.0,0.893,16.5,1,0,79.8
2006,3.0,17,11.79,98.0,5.3,98.0,0.3,692.194398,2.4,0.754,13.8,0,1,66.4
2011,14.0,0,0.96,84.0,4.6,82.0,0.1,445.18866,0.1,0.712,14.4,0,1,72.9
2007,96.0,0,10.45,97.0,8.9,99.0,0.1,48288.5491,0.9,0.873,17.2,0,1,79.3
2005,318.0,2,1.23,71.0,7.21,71.0,3.9,94.7297489,5.9,0.396,4.0,0,1,58.6
2003,42.0,13,4.21,49.0,3.44,35.0,3.2,133.494518,8.7,0.373,10.3,0,1,50.0
2009,74.0,0,1.95,97.0,3.79,98.0,0.1,19356.67236,6.0,0.814,14.4,0,1,76.0
2009,175.0,371,0.03,7.0,2.94,71.0,0.1,16.63999,2.5,0.514,7.3,0,1,64.8
2010,137.0,0,14.97,94.0,6.25,94.0,0.1,14638.6482,1.9,0.833,16.2,0,1,75.6
2003,85.0,0,1.0,93.0,4.14,92.0,0.1,34176.98183,4.8,0.815,12.8,0,1,76.5
2014,65.0,2,8.1,91.0,1.45,91.0,0.1,544.43376,0.5,0.912,15.9,0,1,82.0
2014,382.0,2,0.01,98.0,9.25,98.0,7.3,3464.35169,4.3,0.541,11.4,0,1,58.4
2004,321.0,19,11.5,98.0,5.19,97.0,0.3,412.372294,2.5,0.741,13.6,0,1,64.9
2001,221.0,7,2.35,94.0,3.87,95.0,0.1,774.4763388,3.6,0.0,10.2,0,1,64.0
2002,7.0,3,7.87,89.0,7.85,96.0,0.1,32289.3554,1.7,0.86,14.7,1,0,81.8
2010,365.0,78,7.8,81.0,3.39,77.0,2.5,3529.53482,9.1,0.488,9.0,0,1,49.6
2000,127.0,0,7.43,86.0,5.16,93.0,0.9,11568.1111,4.3,0.741,14.0,0,1,73.3
2007,395.0,57,5.44,81.0,4.76,82.0,7.0,111.71186,6.6,0.456,8.0,0,1,53.6
2002,95.0,0,12.91,99.0,8.27,99.0,0.1,5293.64115,1.0,0.86,13.5,1,0,78.3
2002,88.0,0,14.17,83.0,6.85,83.0,0.1,32539.1937,0.3,0.862,16.5,1,0,77.4
2001,75.0,2,9.69,96.0,8.11,93.0,0.1,24.819,0.5,0.828,14.9,1,0,79.8
2009,433.0,28,3.97,81.0,13.13,84.0,1.7,394.5932439,8.5,0.375,8.5,0,1,47.1
2004,69.0,1,2.23,95.0,7.35,95.0,0.1,19888.172,1.1,0.863,15.9,0,1,81.0
2009,14.0,0,7.82,98.0,4.86,99.0,0.1,1312.46692,3.4,0.788,14.2,0,1,75.4
2013,12.0,2,11.63,95.0,6.4,99.0,0.1,1378.54911,2.0,0.838,15.4,1,0,77.1
2004,26.0,0,8.81,99.0,6.51,99.0,0.1,6351.8125,2.5,0.776,15.5,1,0,71.0
2007,22.0,0,4.72,84.0,5.92,84.0,0.8,5761.39536,3.5,0.684,11.7,0,1,69.5
2007,149.0,0,3.85,49.0,5.25,53.0,0.1,322.543121,0.2,0.682,12.9,0,1,72.2
2008,338.0,3,8.34,55.0,2.31,42.0,6.3,22742.38159,9.3,0.592,9.1,0,1,55.4
2007,178.0,367,0.03,75.0,3.35,75.0,0.1,95.4327931,2.8,0.505,6.7,0,1,64.4
2003,151.0,8,3.69,97.0,6.46,87.0,0.3,244.46898,1.5,0.679,12.6,0,1,74.4
2014,237.0,2,0.01,68.0,3.44,7.0,2.8,9692.163874,6.1,0.687,12.6,0,1,65.5
2007,295.0,20,6.78,98.0,8.49,97.0,5.0,44.853339,6.8,0.424,10.1,0,1,59.6
2001,11.0,457,2.84,86.0,4.56,86.0,0.1,153.1824,5.7,0.592,9.6,0,1,72.2
2013,518.0,4,0.01,9.0,11.7,93.0,9.6,1196.1335,6.1,0.484,11.1,0,1,52.1
2013,364.0,48,0.01,88.0,4.29,89.0,4.0,1365.34419,5.8,0.501,10.4,0,1,56.4
2001,16.0,2,6.1,96.0,6.51,97.0,0.1,4595.666327,1.0,0.761,13.7,0,1,77.3
2010,527.0,29,5.21,89.0,5.37,89.0,15.7,713.63562,7.1,0.436,10.0,0,1,52.4
2005,357.0,15,1.14,8.0,5.17,82.0,5.0,372.1721837,8.4,0.435,10.1,0,1,55.0
2012,217.0,56,5.02,88.0,4.46,88.0,0.1,2581.818554,1.0,0.666,11.6,0,1,68.1
2007,144.0,0,8.64,98.0,4.27,99.0,0.1,14252.29452,3.4,0.781,14.5,0,1,75.0
2010,299.0,3,7.58,83.0,7.89,83.0,6.2,5191.58381,1.4,0.604,11.4,0,1,63.0
2004,82.0,0,13.32,89.0,7.34,89.0,0.1,47631.6377,0.3,0.88,17.1,1,0,78.3
2004,429.0,82,1.54,69.0,5.91,83.0,15.9,336.3318145,3.9,0.332,7.0,0,1,54.0
2011,158.0,0,3.03,98.0,5.2,98.0,0.1,9197.26972,7.1,0.748,14.1,0,1,73.6
2009,317.0,62,1.86,89.0,4.17,88.0,5.0,92.816252,8.2,0.514,10.7,0,1,59.1
2009,182.0,0,4.94,99.0,2.64,99.0,0.1,976.9566,5.8,0.739,13.2,0,1,72.3
2013,253.0,14,5.68,67.0,8.1,68.0,0.5,81.265673,3.9,0.483,9.1,0,1,62.7
2008,88.0,3,11.9,98.0,1.57,98.0,0.1,45413.6571,0.6,0.877,16.1,0,1,89.0
2007,14.0,1,4.13,99.0,1.42,93.0,0.1,5184.494227,3.4,0.754,16.0,0,1,78.1
2010,79.0,0,0.88,99.0,2.73,95.0,0.1,35268.1117,5.9,0.845,14.2,0,1,76.9
2003,363.0,228,0.79,55.0,4.64,37.0,4.4,118.8734466,11.6,0.306,5.2,0,1,54.0
2002,15.0,10,0.05,95.0,4.28,95.0,0.1,8655.311531,7.3,0.745,12.1,0,1,72.9
2014,135.0,2,0.01,94.0,5.57,94.0,0.1,12.27733,2.6,0.797,14.7,1,0,74.8
2002,192.0,16,5.93,97.0,3.7,96.0,0.7,296.54617,9.2,0.657,11.5,0,1,71.4
2007,159.0,3,5.61,95.0,6.41,95.0,0.1,2312.192926,2.2,0.649,12.0,0,1,72.5
2008,124.0,0,4.16,99.0,3.96,99.0,0.4,3638.95946,7.8,0.615,12.2,0,1,72.4
2007,241.0,6,2.58,98.0,2.16,98.0,0.1,26.371428,3.3,0.0,10.4,0,1,64.1
2014,181.0,2,2.52,93.0,6.77,94.0,0.2,3988.771871,1.6,0.676,13.2,0,1,73.3
2014,199.0,32,0.01,67.0,5.54,64.0,0.1,673.74737,5.3,0.658,10.1,0,1,67.9
2007,129.0,10,8.16,92.0,6.49,91.0,0.1,7193.61764,1.1,0.788,16.3,0,1,74.8
2000,154.0,18,4.59,93.0,4.83,98.0,0.5,1996.719689,1.4,0.674,13.5,0,1,71.4
2004,269.0,2,0.27,73.0,3.96,76.0,0.1,616.4197236,7.5,0.0,9.5,0,1,59.8
